mjd,ra,dec,mag,band,status,permid,provid,obstime_text
60798.054914409724,186.1416012,7.4425052,21.846,Lr,p,616827,2001 HL69,2025-05-03T01:19:04.605Z
60798.081880833335,186.1371949,7.4426296,21.872,Lr,p,616827,2001 HL69,2025-05-03T01:57:54.504Z
60799.01394697917,185.9944994,7.4443969,21.876,Li,p,616827,2001 HL69,2025-05-04T00:20:05.019Z
60799.11512101852,185.9784894,7.4443934,21.898,Lr,p,616827,2001 HL69,2025-05-04T02:45:46.456Z
60799.02601577546,185.9925825,7.4443667,21.787,Li,p,616827,2001 HL69,2025-05-04T00:37:27.763Z
60790.13771494213,187.5713532,7.2972201,22.196,Lg,p,616827,2001 HL69,2025-04-25T03:18:18.571Z
60798.09117975694,186.1356642,7.4426441,21.896,Lr,p,616827,2001 HL69,2025-05-03T02:11:17.931Z
60798.133472037036,186.1286809,7.4427949,22.387,Lg,p,616827,2001 HL69,2025-05-03T03:12:11.984Z
60794.16849055555,186.7971619,7.4001213,21.877,Lr,p,616827,2001 HL69,2025-04-29T04:02:37.584Z
60797.021351655094,186.3073472,7.4366984,21.817,Li,p,616827,2001 HL69,2025-05-02T00:30:44.783Z
60797.02380675926,186.3069315,7.4367056,21.847,Li,p,616827,2001 HL69,2025-05-02T00:34:16.904Z
60799.11996664352,185.9777297,7.4443925,21.959,Lr,p,616827,2001 HL69,2025-05-04T02:52:45.118Z
60797.08248204861,186.2969003,7.4371658,21.984,Lr,p,616827,2001 HL69,2025-05-02T01:58:46.449Z
60797.09635951389,186.2945378,7.4372708,22.395,Lg,p,616827,2001 HL69,2025-05-02T02:18:45.462Z
60798.06913979167,186.1392644,7.442581,21.865,Lr,p,616827,2001 HL69,2025-05-03T01:39:33.678Z
60798.09796825232,186.1345405,7.4426695,21.909,Lr,p,616827,2001 HL69,2025-05-03T02:21:04.457Z
60799.15112515046,185.9728029,7.4443794,22.227,Lg,p,616827,2001 HL69,2025-05-04T03:37:37.213Z
60798.08286736111,186.1370335,7.4426213,21.968,Lr,p,616827,2001 HL69,2025-05-03T01:59:19.740Z
60799.14432074074,185.9738731,7.4443857,22.304,Lg,p,616827,2001 HL69,2025-05-04T03:27:49.312Z
60798.0233537963,186.146809,7.4424039,21.894,Li,p,616827,2001 HL69,2025-05-03T00:33:37.768Z
60797.04335709491,186.3035972,7.4368671,21.817,Li,p,616827,2001 HL69,2025-05-02T01:02:26.053Z
60798.02528721065,186.1464887,7.4423962,21.792,Li,p,616827,2001 HL69,2025-05-03T00:36:24.815Z
60799.111596469906,185.9790436,7.4444011,21.974,Lr,p,616827,2001 HL69,2025-05-04T02:40:41.935Z
60790.19061100695,187.5601916,7.2989459,21.716,Li,p,616827,2001 HL69,2025-04-25T04:34:28.791Z
60787.11233025463,188.2076783,7.1812033,21.787,Li,p,616827,2001 HL69,2025-04-22T02:41:45.334Z
60790.122444155095,187.5745783,7.2967158,21.752,Lr,p,616827,2001 HL69,2025-04-25T02:56:19.175Z
60797.078565358795,186.2975781,7.4371368,21.945,Lr,p,616827,2001 HL69,2025-05-02T01:53:08.047Z
60793.18701505787,186.9771308,7.3805913,21.847,Lr,p,616827,2001 HL69,2025-04-28T04:29:18.101Z
60797.05763762732,186.3011508,7.4369792,21.940,Lr,p,616827,2001 HL69,2025-05-02T01:22:59.891Z
60797.029668773146,186.3059334,7.4367615,21.871,Li,p,616827,2001 HL69,2025-05-02T00:42:43.382Z
60798.106979780096,186.1330817,7.4427064,22.308,Lg,p,616827,2001 HL69,2025-05-03T02:34:03.053Z
60798.1123116088,186.1321545,7.4427567,22.365,Lg,p,616827,2001 HL69,2025-05-03T02:41:43.723Z
60797.03994855324,186.3041749,7.4368513,21.825,Li,p,616827,2001 HL69,2025-05-02T00:57:31.555Z
60797.06829783565,186.299327,7.4370581,21.899,Lr,p,616827,2001 HL69,2025-05-02T01:38:20.933Z
60797.09057777778,186.2955331,7.4372216,22.403,Lg,p,616827,2001 HL69,2025-05-02T02:10:25.920Z
60793.060812048614,187.0017263,7.3778224,21.754,Li,p,616827,2001 HL69,2025-04-28T01:27:34.161Z
60799.08988532407,185.9824805,7.4443976,21.920,Lr,p,616827,2001 HL69,2025-05-04T02:09:26.092Z
60793.15974898148,186.9823584,7.3801076,23.144,Lu,p,616827,2001 HL69,2025-04-28T03:50:02.312Z
60787.11915486111,188.2061344,7.1815021,21.534,Li,p,616827,2001 HL69,2025-04-22T02:51:34.980Z
60799.14531021991,185.9737136,7.4443772,22.347,Lg,p,616827,2001 HL69,2025-05-04T03:29:14.803Z
60793.1355991088,186.9871256,7.3794787,22.304,Lg,p,616827,2001 HL69,2025-04-28T03:15:15.763Z
60798.122113032405,186.1305748,7.4427621,22.349,Lg,p,616827,2001 HL69,2025-05-03T02:55:50.566Z
60798.012517256946,186.1486125,7.4423628,21.826,Li,p,616827,2001 HL69,2025-05-03T00:18:01.491Z
60798.071172094904,186.1389693,7.4425774,21.950,Lr,p,616827,2001 HL69,2025-05-03T01:42:29.269Z
60799.148215995374,185.973262,7.4443775,22.286,Lg,p,616827,2001 HL69,2025-05-04T03:33:25.862Z
